@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE number_of_peaks NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
90882.000000, 494.238692, 1226.141156, 27.048480, 123.265250, 262.260984, 540.000000, 24.633940, 37.139050, 70.320411, 113.390118, 154.115293, 218.347932, 313.025003, 403.989672, 527.690356, 3824.249573, 626509.738782, 1399.638836, 508.600535, 364.535753, 291.181567, 210.682744, 148.211522, 103.791980, 66.598043, 32.774491, 19.686643, bg
70007.000000, 415.788885, 1047.990822, 16.843541, 120.597694, 217.174270, 431.000000, 21.564462, 35.485292, 56.838747, 87.960539, 133.575504, 189.278557, 231.662988, 281.662606, 359.651958, 1535.469365, 450118.208848, 913.929276, 410.261108, 290.779512, 217.856828, 185.265247, 121.962591, 79.747547, 54.230742, 35.616584, 18.132521, bg
74797.000000, 439.594970, 1102.816229, 17.778526, 111.834344, 225.340359, 512.000000, 21.665425, 26.715693, 60.848229, 82.985463, 152.704763, 189.851739, 260.351019, 399.310786, 518.537038, 4509.851091, 488819.225676, 1135.886838, 407.342863, 297.474311, 249.859512, 186.365133, 109.865685, 75.920548, 42.101356, 25.773850, 10.853743, bg
74346.000000, 443.439230, 1100.107194, 16.662381, 117.242594, 235.815989, 481.000000, 21.542299, 33.838542, 66.630869, 104.317304, 118.946159, 186.486963, 216.385354, 297.525403, 484.031823, 2078.389389, 509301.838114, 822.292996, 380.247064, 304.780764, 216.903967, 166.043198, 116.448873, 106.405689, 50.850000, 30.845053, 16.510160, bg
91774.000000, 443.738824, 1180.054506, 20.817369, 155.773838, 241.674269, 516.000000, 22.966253, 47.647098, 71.951438, 103.978277, 121.915348, 217.774341, 306.905561, 385.913395, 782.849392, 4977.347162, 563166.418597, 1653.450438, 555.141558, 384.212764, 268.458727, 185.871409, 112.413749, 89.738862, 72.062854, 39.804482, 15.792396, bg
45490.000000, 356.268272, 873.707542, 13.671323, 91.274458, 188.304962, 358.000000, 15.906341, 21.985889, 41.110781, 63.638961, 92.455524, 146.364067, 198.084163, 248.331733, 385.372157, 2107.079856, 328067.864060, 624.913110, 352.951979, 231.047437, 174.365845, 130.086149, 70.148497, 56.797424, 32.245533, 19.808306, 6.480106, bg
40160.000000, 307.566009, 773.437560, 11.602786, 95.438537, 157.730273, 364.000000, 11.617651, 22.877165, 36.568502, 53.463456, 80.445429, 114.113089, 157.902570, 234.202959, 315.123799, 1984.491602, 233182.781077, 501.349402, 316.164638, 170.890655, 113.621658, 95.665077, 63.388044, 43.618717, 27.200775, 15.030837, 4.840573, bg
134171.000000, 667.689657, 1566.421290, 24.647744, 409.180242, 507.767153, 676.000000, 42.980854, 64.669138, 99.451837, 139.248250, 222.819430, 332.975445, 358.057653, 559.464884, 948.990943, 4066.389240, 1435675.823672, 1672.851348, 812.570102, 566.958516, 372.540763, 329.790498, 203.489065, 131.664944, 95.572996, 59.153508, 36.771250, cg
89810.000000, 606.775142, 1362.431728, 23.460570, 187.939495, 371.491934, 583.000000, 31.520193, 49.790516, 83.027602, 136.934113, 188.350605, 292.619297, 294.264927, 437.872512, 776.910525, 3158.723849, 915764.959654, 1653.449746, 641.584898, 437.717311, 322.619137, 283.136442, 173.228708, 129.839787, 77.544738, 46.961257, 28.082684, cg
217765.000000, 814.438803, 1980.215873, 28.724387, 355.092559, 456.240076, 932.000000, 51.721855, 99.762810, 128.857095, 228.730774, 314.772079, 464.377502, 499.110497, 719.466858, 1177.865511, 4692.648280, 1891912.568017, 1887.898935, 1057.584384, 680.162675, 491.075496, 439.605170, 287.503668, 210.372688, 124.258411, 87.653428, 39.951700, cg
332289.000000, 1003.284203, 2385.858002, 44.720059, 358.076025, 569.313877, 1039.000000, 69.718484, 109.317944, 186.289985, 306.638423, 444.678527, 576.888235, 808.555260, 1089.026891, 1556.827836, 8265.751138, 2530780.802957, 2628.646122, 1417.162481, 1029.788466, 777.677581, 509.943082, 422.374291, 280.857172, 176.013567, 101.512497, 54.679791, cg
181576.000000, 807.012643, 1843.996760, 29.615496, 256.519931, 467.889387, 824.000000, 46.086993, 86.545895, 123.436674, 219.973889, 297.039660, 447.012914, 463.069016, 718.291061, 1194.338548, 4968.186272, 1610545.261580, 1919.729034, 1006.416688, 747.286088, 475.306654, 416.001671, 267.880066, 208.840010, 106.997439, 75.341454, 38.265097, cg
54555.000000, 381.555165, 945.097171, 13.159655, 205.768370, 274.776197, 409.000000, 14.474679, 38.415831, 49.834007, 74.284296, 115.191841, 135.441076, 200.227982, 250.160520, 493.428125, 4780.728963, 452956.436814, 497.426499, 354.190763, 205.206017, 191.287145, 112.409643, 88.360779, 55.720700, 40.306221, 27.237264, 4.974275, cg
164739.000000, 862.600430, 1898.166875, 34.899704, 250.171089, 487.470951, 821.000000, 47.355800, 87.279967, 159.598765, 237.315830, 319.705530, 439.950769, 545.131681, 802.506269, 1250.820835, 4295.276783, 1733135.754404, 2290.641655, 1117.667206, 765.322561, 560.454486, 412.683413, 310.195662, 237.713508, 147.908640, 84.848356, 44.370046, cg
99704.000000, 606.856099, 1373.958591, 24.960603, 235.338304, 416.699170, 586.000000, 29.938864, 54.516700, 84.831638, 130.747935, 181.526122, 275.161308, 375.977930, 461.256604, 841.653816, 3107.407507, 989464.085663, 2109.957516, 725.923797, 475.564876, 402.132865, 246.166868, 176.972705, 126.531673, 81.220332, 53.254148, 26.287979, cg
37229.000000, 378.792974, 852.414154, 14.559288, 152.967211, 246.703650, 372.000000, 18.952083, 29.961892, 33.766091, 64.261633, 103.386131, 108.747608, 180.497409, 214.496277, 397.131492, 1883.139210, 380488.824045, 781.251673, 389.834648, 220.823383, 169.775654, 112.129530, 93.190108, 63.341666, 31.512115, 25.991460, 15.912548, cg
102377.000000, 622.532291, 1410.599276, 23.950328, 217.766933, 390.034939, 613.000000, 35.693681, 56.466352, 96.487152, 135.381320, 219.374352, 248.587317, 382.837923, 451.500563, 733.862510, 2774.658917, 969927.662095, 1173.022977, 585.535056, 460.690648, 409.390316, 251.203888, 201.471687, 128.891004, 93.489462, 52.036177, 34.002357, cg
87804.000000, 706.442238, 1692.950479, 54.293837, 194.466938, 386.675345, 611.000000, 33.750790, 56.903814, 84.236799, 129.576861, 266.122929, 438.858310, 561.214606, 861.023073, 2293.979210, 12107.771957, 1363202.271466, 5477.417762, 1509.069340, 944.852444, 577.846792, 392.128661, 224.314968, 137.930021, 83.270354, 50.058290, 28.032645, lg
64721.000000, 630.890817, 1449.372035, 41.959449, 156.195352, 402.288255, 595.000000, 28.400144, 46.497076, 77.195760, 134.252333, 192.550711, 289.184715, 361.807695, 643.013208, 1960.590324, 7273.743782, 1068553.295372, 4594.278289, 1120.689548, 653.257523, 409.114413, 250.056589, 178.810115, 139.519879, 72.892690, 45.832110, 24.175869, lg
