@RELATION leaves

@ATTRIBUTE area  NUMERIC
@ATTRIBUTE diameter  NUMERIC
@ATTRIBUTE perimeter  NUMERIC
@ATTRIBUTE bending_energy  NUMERIC
@ATTRIBUTE center_of_mass_x  NUMERIC
@ATTRIBUTE center_of_mass_y NUMERIC
@ATTRIBUTE fourier1  NUMERIC
@ATTRIBUTE fourier2  NUMERIC
@ATTRIBUTE fourier3  NUMERIC
@ATTRIBUTE fourier4  NUMERIC
@ATTRIBUTE fourier5  NUMERIC
@ATTRIBUTE fourier6  NUMERIC
@ATTRIBUTE fourier7  NUMERIC
@ATTRIBUTE fourier8  NUMERIC
@ATTRIBUTE fourier9  NUMERIC
@ATTRIBUTE fourier10  NUMERIC
@ATTRIBUTE fourier11  NUMERIC
@ATTRIBUTE fourier12  NUMERIC
@ATTRIBUTE fourier13  NUMERIC
@ATTRIBUTE fourier14  NUMERIC
@ATTRIBUTE fourier15  NUMERIC
@ATTRIBUTE fourier16  NUMERIC
@ATTRIBUTE fourier17  NUMERIC
@ATTRIBUTE fourier18  NUMERIC
@ATTRIBUTE fourier19  NUMERIC
@ATTRIBUTE fourier20  NUMERIC
@ATTRIBUTE fourier21  NUMERIC

@ATTRIBUTE class  {ag, bg, cg, lg, me, pe}

@DATA
91778.000000, 440.728942, 1226.052957, 285.500000, 154.546679, 239.772859, 409.568422, 464.739460, 397.446975, 385.023237, 327.979674, 400.359070, 463.859141, 513.552920, 849.781427, 5043.673892, 558774.127831, 1693.003371, 632.415451, 533.921556, 421.394660, 394.429697, 342.251456, 387.817230, 445.076828, 451.024996, 300.246028, bg
142826.000000, 590.059319, 1570.160605, 347.000000, 164.495167, 309.545725, 628.046891, 542.718083, 526.751615, 630.862020, 582.252011, 604.869432, 677.014041, 608.550995, 960.556767, 4604.563727, 942074.789646, 1607.769906, 828.468973, 612.298800, 663.137150, 608.910567, 566.648187, 586.313310, 508.728008, 591.155639, 473.578732, bg
90882.000000, 490.886952, 1270.295598, 268.375000, 122.378928, 260.375231, 408.105303, 361.390974, 413.757052, 443.223412, 417.676111, 430.979390, 479.531888, 510.868392, 579.467136, 3857.972637, 622033.297164, 1433.171494, 574.793510, 477.899901, 467.293605, 439.427817, 431.392470, 443.974631, 431.308610, 354.455508, 352.355239, bg
70007.000000, 412.683898, 1090.070201, 267.875000, 119.602174, 215.381522, 359.670424, 348.622744, 339.393025, 341.306179, 355.165498, 373.558157, 356.817043, 357.624640, 394.731568, 1553.863787, 446424.168187, 932.769693, 456.731121, 375.756998, 345.495480, 375.783046, 341.387395, 323.286177, 340.367970, 369.031932, 313.609756, bg
74797.000000, 436.371401, 1138.070201, 216.125000, 110.992769, 223.644628, 354.407145, 263.240490, 353.613938, 318.663990, 399.509009, 366.948433, 398.255159, 495.922806, 566.467879, 4524.959754, 485167.219426, 1169.149852, 469.015054, 398.101631, 419.088829, 416.988925, 334.643118, 349.688510, 297.632199, 315.581893, 204.392724, bg
74346.000000, 440.305576, 1141.099639, 258.875000, 116.352459, 234.025615, 358.708377, 323.333031, 389.984605, 413.152113, 323.000132, 365.942025, 335.490886, 377.353430, 528.870016, 2094.734027, 505459.144390, 846.124230, 430.111859, 402.464880, 357.214030, 349.025387, 341.926586, 466.291411, 334.340582, 327.332394, 296.715594, bg
91774.000000, 440.728942, 1226.052957, 285.500000, 154.547642, 239.771896, 372.144574, 458.529764, 427.398237, 406.387938, 326.374411, 426.094314, 466.166414, 484.057404, 852.832647, 5027.053967, 558760.698181, 1693.922628, 626.894350, 510.588208, 435.530446, 394.788991, 328.350417, 386.285151, 479.440110, 438.004320, 281.071628, bg
45490.000000, 353.882749, 898.097546, 159.875000, 90.541719, 186.793275, 258.573883, 207.634988, 237.891909, 245.036010, 243.320002, 283.293675, 296.443201, 309.562760, 417.829804, 2114.780526, 325452.481870, 646.048471, 405.491355, 312.047899, 292.785181, 287.460376, 217.726311, 259.030827, 231.004027, 242.356618, 126.238227, bg
40160.000000, 304.868824, 797.193001, 159.375000, 94.547337, 156.257396, 185.270027, 214.688313, 211.547418, 201.403938, 208.626551, 222.654810, 238.614687, 288.515412, 343.745910, 1982.202010, 231020.017185, 519.735411, 363.818810, 233.330324, 192.729892, 215.773911, 203.641829, 208.423315, 207.987221, 188.553321, 94.077383, bg
134171.000000, 664.632981, 1629.959595, 375.875000, 407.251608, 505.373838, 713.921309, 624.181262, 594.489023, 547.619201, 604.268894, 667.456866, 555.560021, 712.674458, 1042.691122, 4111.585786, 1428969.371091, 1713.223111, 915.619798, 736.770255, 593.523144, 688.032215, 579.593519, 551.485479, 614.039146, 614.002940, 642.125698, cg
89810.000000, 603.162499, 1415.325035, 316.250000, 186.797078, 369.233766, 519.447341, 483.314696, 494.753415, 540.586683, 507.569904, 585.131137, 452.555977, 555.988513, 855.264838, 3192.018920, 910247.157456, 1687.170212, 724.968178, 568.836234, 512.155258, 591.810268, 492.539665, 542.106883, 492.483384, 482.685943, 480.593594, cg
217765.000000, 810.785422, 2054.510893, 442.750000, 353.343017, 453.992179, 864.691928, 972.595318, 772.660675, 892.085146, 846.990260, 927.573536, 772.801693, 912.440516, 1296.694295, 4749.426102, 1882662.418141, 1939.199220, 1192.495322, 891.333354, 799.481421, 928.665828, 832.561778, 882.599612, 817.744869, 935.013953, 706.474865, cg
332289.000000, 998.421254, 2480.005410, 550.250000, 356.313987, 566.512369, 1155.029918, 1059.382966, 1116.913331, 1184.536623, 1206.525627, 1147.094516, 1244.699967, 1378.469704, 1716.123095, 8360.466507, 2518408.095303, 2703.446302, 1601.571070, 1350.594672, 1254.568953, 1080.603599, 1226.040726, 1184.948346, 1151.838029, 1096.110057, 966.091422, cg
181576.000000, 802.881062, 1914.528137, 419.750000, 255.146971, 465.385123, 770.951237, 837.303141, 722.056642, 862.372909, 796.735615, 881.828666, 711.979160, 912.776676, 1314.338353, 5011.057471, 1601993.393050, 1962.519072, 1133.819162, 979.098990, 771.460893, 870.667521, 777.997178, 890.844803, 694.411811, 796.897061, 678.797292, cg
